----------------------------oping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
21568, -10, 62, -1, 20, -3
21669, -15, 93, -2, 35, -6
21770, -20, 124, -3, 50, -9
21871, -25, 155, -3, 70, -12
21972, -30, 186, -4, 90, -16
22074, -35, 217, -4, 110, -20
22175, -40, 248, -5, 130, -23
22276, -44, 258, -16, 155, -28
22377, -48, 268, -28, 180, -32
22478, -52, 278, -39, 210, -37
22579, -56, 288, -50, 240, -42
22680, -60, 298, -61, 270, -48
22781, -64, 308, -73, 300, -53
22882, -68, 318, -84, 320, -59
22983, -72, 328, -95, 340, -64
23084, -51, 327, -102, 365, -68
23185, -30, 326, -109, 390, -73
23286, -9, 325, -116, 420, -78
23387, 12, 324, -123, 450, -84
23488, 33, 323, -129, 485, -90
23589, 54, 322, -136, 520, -96
23690, 75, 321, -143, 565, -102
23791, 96, 320, -150, 610, -110
23892, 85, 321, -189, 635, -117
23994, 74, 322, -229, 660, -123
24095, 63, 323, -268, 680, -129
24197, 52, 324, -308, 700, -135
24298, 41, 325, -347, 715, -139
24399, 30, 326, -386, 730, -143
24500, 19, 327, -426, 740, -147
24601, 8, 328, -465, 750, -149
24702, 10, 341, -459, 770, -152
24804, 12, 354, -453, 790, -156
24906, 14, 367, -446, 800, -159
25007, 16, 380, -440, 810, -161
25108, 18, 393, -434, 815, -163
25209, 20, 406, -428, 820, -164
25310, 22, 419, -421, 825, -165
25411, 24, 432, -415, 830, -166
25512, 20, 430, -351, 840, -168
25613, 16, 428, -288, 850, -170
25714, 12, 426, -224, 855, -171
25815, 8, 424, -160, 860, -172
25916, 4, 422, -96, 865, -173
26017, 0, 420, -33, 870, -174
26118, -4, 418, 31, 880, -176
26219, -8, 416, 95, 890, -178
26320, -8, 416, 95, 890, -178
26421, -8, 416, 95, 890, -178
26522, 3, 411, 53, 875, -176
26624, 14, 406, 10, 860, -173
26725, 25, 401, -33, 840, -170
26826, 36, 396, -75, 820, -166
26927, 47, 391, -118, 795, -162
27028, 58, 386, -160, 770, -158
27129, 69, 381, -203, 735, -153
27230, 80, 376, -245, 700, -147
27331, 82, 377, -239, 650, -141
27432, 84, 378, -234, 600, -133
27533, 86, 379, -228, 555, -126
27634, 88, 380, -223, 510, -117
27735, 90, 381, -217, 450, -109
27836, 92, 382, -211, 390, -99
27937, 94, 383, -206, 360, -90
28038, 96, 384, -200, 330, -81
28139, 79, 346, -177, 300, -73
28240, 62, 308, -154, 270, -66
28341, 45, 270, -131, 240, -59
28442, 28, 232, -108, 210, -52
28544, 11, 194, -84, 180, -45
28645, -6, 156, -61, 150, -39
28746, -23, 118, -38, 125, -32
28847, -40, 80, -15, 100, -27
28948, -35, 70, -13, 80, -21
29049, -30, 60, -11, 60, -16
29150, -25, 50, -9, 45, -12
29251, -20, 40, -8, 30, -8
29352, -15, 30, -6, 20, -5
29453, -10, 20, -4, 10, -2
29554, 0, 0, 0, 0, 0
29655, -5, 31, -1, 10, -1
29756, -10, 62, -1, 20, -3
29857, -15, 93, -2, 35, -6
29958, -20, 124, -3, 50, -9
30059, -25, 155, -3, 70, -12
30160, -30, 186, -4, 90, -16
30261, -35, 217, -4, 110, -20
30362, -40, 248, -5, 130, -23
30464, -44, 258, -16, 155, -28
30565, -48, 268, -28, 180, -32
30666, -52, 278, -39, 210, -37
30767, -56, 288, -50, 240, -42
30868, -60, 298, -61, 270, -48
30969, -64, 308, -73, 300, -53
31070, -68, 318, -84, 320, -59
31171, -72, 328, -95, 340, -64
31272, -51, 327, -102, 365, -68
31373, -30, 326, -109, 390, -73
31474, -9, 325, -116, 420, -78
31575, 12, 324, -123, 450, -84
31676, 33, 323, -129, 485, -90
31777, 54, 322, -136, 520, -96
31878, 75, 321, -143, 565, -102
31979, 96, 320, -150, 610, -110
32080, 85, 321, -189, 635, -117
32181, 74, 322, -229, 660, -123
32282, 63, 323, -268, 680, -129
32384, 52, 324, -308, 700, -135
32485, 41, 325, -347, 715, -139
32586, 30, 326, -386, 730, -143
32687, 19, 327, -426, 740, -147
32788, 8, 328, -465, 750, -149
32889, 10, 341, -459, 770, -152
32990, 12, 354, -453, 790, -156
33091, 14, 367, -446, 800, -159
33192, 16, 380, -440, 810, -161
33293, 18, 393, -434, 815, -163
33394, 20, 406, -428, 820, -164
33495, 22, 419, -421, 825, -165
33596, 24, 432, -415, 830, -166
33697, 20, 430, -351, 840, -168
33798, 16, 428, -288, 850, -170
33899, 12, 426, -224, 855, -171
34000, 8, 424, -160, 860, -172
34101, 4, 422, -96, 865, -173
34202, 0, 420, -33, 870, -174
34304, -4, 418, 31, 880, -176
34405, -8, 416, 95, 890, -178
34506, -8, 416, 95, 890, -178
34607, -8, 416, 95, 890, -178
34708, 3, 411, 53, 875, -176
34809, 14, 406, 10, 860, -173
34910, 25, 401, -33, 840, -170
35011, 36, 396, -75, 820, -166
35112, 47, 391, -118, 795, -162
35213, 58, 386, -160, 770, -158
35314, 69, 381, -203, 735, -153
35415, 80, 376, -245, 700, -147
35516, 82, 377, -239, 650, -141
35617, 84, 378, -234, 600, -134
35718, 86, 379, -228, 555, -126
35819, 88, 380, -223, 510, -117
35920, 90, 381, -217, 450, -109
36021, 92, 382, -211, 390, -99
36122, 94, 383, -206, 360, -90
36224, 96, 384, -200, 330, -81
