-------------------------------------
ng (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
19365, -10, 62, -1, 20, 1
19466, -15, 93, -2, 35, -3
19567, -20, 124, -3, 50, -9
19668, -25, 155, -3, 70, -17
19770, -30, 186, -4, 90, -24
19871, -35, 217, -4, 110, -31
19972, -40, 248, -5, 130, -38
20073, -44, 258, -16, 155, -43
20174, -48, 268, -28, 180, -48
20275, -52, 278, -39, 210, -52
20376, -56, 288, -50, 240, -54
20477, -60, 298, -61, 270, -57
20578, -64, 308, -73, 300, -59
20679, -68, 318, -84, 320, -61
20780, -72, 328, -95, 340, -63
20881, -51, 327, -102, 365, -63
20982, -30, 326, -109, 390, -62
21083, -9, 325, -116, 420, -62
21184, 12, 324, -123, 450, -62
21285, 33, 323, -129, 485, -62
21386, 54, 322, -136, 520, -62
21487, 75, 321, -143, 565, -61
21588, 96, 320, -150, 610, -61
21690, 85, 321, -189, 635, -61
21791, 74, 322, -229, 660, -61
21892, 63, 323, -268, 680, -61
21993, 52, 324, -308, 700, -62
22094, 41, 325, -347, 715, -62
22195, 30, 326, -386, 730, -62
22296, 19, 327, -426, 740, -62
22397, 8, 328, -465, 750, -62
22498, 10, 341, -459, 770, -64
22600, 12, 354, -453, 790, -67
22701, 14, 367, -446, 800, -69
22802, 16, 380, -440, 810, -72
22903, 18, 393, -434, 815, -74
23004, 20, 406, -428, 820, -77
23105, 22, 419, -421, 825, -80
23206, 24, 432, -415, 830, -82
23307, 20, 430, -351, 840, -83
23408, 16, 428, -288, 850, -82
23510, 12, 426, -224, 855, -81
23611, 8, 424, -160, 860, -81
23712, 4, 422, -96, 865, -81
23813, 0, 420, -33, 870, -80
23914, -4, 418, 31, 880, -80
24015, -8, 416, 95, 890, -79
24115, -8, 416, 95, 890, -79
24216, -8, 416, 95, 890, -79
24317, 3, 411, 53, 875, -78
24418, 14, 406, 10, 860, -77
24519, 25, 401, -33, 840, -77
24620, 36, 396, -75, 820, -75
24721, 47, 391, -118, 795, -74
24822, 58, 386, -160, 770, -74
24923, 69, 381, -203, 735, -73
25024, 80, 376, -245, 700, -71
25125, 82, 377, -239, 650, -71
25226, 84, 378, -234, 600, -72
25327, 86, 379, -228, 555, -72
25428, 88, 380, -223, 510, -72
25530, 90, 381, -217, 450, -72
25631, 92, 382, -211, 390, -72
25732, 94, 383, -206, 360, -73
25833, 96, 384, -200, 330, -73
25934, 79, 346, -177, 300, -71
26035, 62, 308, -154, 270, -67
26137, 45, 270, -131, 240, -61
26238, 28, 232, -108, 210, -54
26340, 11, 194, -84, 180, -47
26441, -6, 156, -61, 150, -40
26542, -23, 118, -38, 125, -32
26643, -40, 80, -15, 100, -25
26744, -35, 70, -13, 80, -18
26845, -30, 60, -11, 60, -13
26946, -25, 50, -9, 45, -9
27047, -20, 40, -8, 30, -6
27148, -15, 30, -6, 20, -3
27249, -10, 20, -4, 10, -1
27350, 0, 0, 0, 0, 2
27451, -5, 31, -1, 10, 4
27552, -10, 62, -1, 20, 2
27653, -15, 93, -2, 35, -2
27754, -20, 124, -3, 50, -8
27855, -25, 155, -3, 70, -15
27956, -30, 186, -4, 90, -22
28057, -35, 217, -4, 110, -29
28158, -40, 248, -5, 130, -36
28260, -44, 258, -16, 155, -42
28361, -48, 268, -28, 180, -46
28462, -52, 278, -39, 210, -50
28563, -56, 288, -50, 240, -52
28664, -60, 298, -61, 270, -55
28765, -64, 308, -73, 300, -57
28866, -68, 318, -84, 320, -59
28967, -72, 328, -95, 340, -61
29068, -51, 327, -102, 365, -61
29169, -30, 326, -109, 390, -60
